# === FOOD & 1DRINK1 / GENERAL ===
food-drink|https://www.delish.com/rss/all.xml/
test|4General|https://www.tasteofhome.com/feed/

# === FOOD ===
test|5Food|https://www.bonappetit.com/feed/rss
Food|7Food|https://smittenkitchen.com/feed/
Food|9Food|https://cookieandkate.com/feed/
Food|10Food|https://pinchofyum.com/feed

# === DRINK ===
Drink|11Drink|https://imbibemagazine.com/feed/
Drink|12Drink|https://vinepair.com/feed/
Drink|13Drink|https://punchdrink.com/feed/
Drink|14Drink|https://www.thedrinksbusiness.com/feed/
Drink|16Drink|https://www.cocktailenthusiast.com/feed/
Drink|17Drink|https://brewbound.com/feed/

